hour,station_id,Wind_Error,Target_Wind,Baseline_Wind,Pressure_Gradient,Thermal_Delta,Hour_of_Day,Month,Wind_Direction,Temperature,Wind_Gust_Baseline,Is_Thermal_Window,Wind_Dir_Sin,Wind_Dir_Cos,Hour_Sin,Hour_Cos,HRRR_Temp,Temp_Model_Delta
2025-12-24 00:00:00,KUTLEHI73,-4.199999999999999,2.4,6.6,-0.8,17.6,0,12,125,54.6,28.6,0,0.8192,-0.5736,0.0,1.0,52.9,1.7000000000000028
2025-12-24 00:00:00,KUTSARAT50,5.0,11.6,6.6,-0.8,20.799999999999997,0,12,125,57.8,28.6,0,0.8192,-0.5736,0.0,1.0,52.9,4.899999999999999
2025-12-24 00:00:00,KUTLEHI111,0.0,6.6,6.6,-0.8,18.4,0,12,125,55.4,28.6,0,0.8192,-0.5736,0.0,1.0,52.9,2.5
2025-12-24 00:00:00,KUTSARAT74,-3.3999999999999995,3.2,6.6,-0.8,19.700000000000003,0,12,125,56.7,28.6,0,0.8192,-0.5736,0.0,1.0,52.9,3.8000000000000043
2025-12-24 00:00:00,KUTSARAT81,-1.5999999999999996,5.0,6.6,-0.8,19.299999999999997,0,12,125,56.3,28.6,0,0.8192,-0.5736,0.0,1.0,52.9,3.3999999999999986
2025-12-24 00:00:00,KUTPLEAS11,-6.3,0.3,6.6,-0.8,17.4,0,12,125,54.4,28.6,0,0.8192,-0.5736,0.0,1.0,52.9,1.5
2025-12-24 00:00:00,KUTSARAT62,-1.7999999999999998,4.8,6.6,-0.8,18.200000000000003,0,12,125,55.2,28.6,0,0.8192,-0.5736,0.0,1.0,52.9,2.3000000000000043
2025-12-24 01:00:00,KUTLEHI73,-11.899999999999999,1.3,13.2,-0.9,17.5,1,12,89,54.5,27.1,0,0.9998,0.0175,0.2588,0.9659,52.0,2.5
2025-12-24 01:00:00,KUTPLEAS11,-12.899999999999999,0.3,13.2,-0.9,16.6,1,12,89,53.6,27.1,0,0.9998,0.0175,0.2588,0.9659,52.0,1.6000000000000014
2025-12-24 01:00:00,KUTSARAT50,1.4000000000000004,14.6,13.2,-0.9,20.299999999999997,1,12,89,57.3,27.1,0,0.9998,0.0175,0.2588,0.9659,52.0,5.299999999999997
2025-12-24 01:00:00,KUTSARAT62,-10.399999999999999,2.8,13.2,-0.9,17.700000000000003,1,12,89,54.7,27.1,0,0.9998,0.0175,0.2588,0.9659,52.0,2.700000000000003
2025-12-24 01:00:00,KUTSARAT74,-11.6,1.6,13.2,-0.9,18.200000000000003,1,12,89,55.2,27.1,0,0.9998,0.0175,0.2588,0.9659,52.0,3.200000000000003
2025-12-24 01:00:00,KUTSARAT81,-5.799999999999999,7.4,13.2,-0.9,18.6,1,12,89,55.6,27.1,0,0.9998,0.0175,0.2588,0.9659,52.0,3.6000000000000014
2025-12-24 01:00:00,KUTLEHI111,-7.6,5.6,13.2,-0.9,16.9,1,12,89,53.9,27.1,0,0.9998,0.0175,0.2588,0.9659,52.0,1.8999999999999986
2025-12-24 02:00:00,KUTPLEAS11,-9.3,0.1,9.4,-1.9,15.799999999999997,2,12,149,52.8,28.9,0,0.515,-0.8572,0.5,0.866,52.2,0.5999999999999943
2025-12-24 02:00:00,KUTLEHI73,-6.9,2.5,9.4,-1.9,17.299999999999997,2,12,149,54.3,28.9,0,0.515,-0.8572,0.5,0.866,52.2,2.0999999999999943
2025-12-24 02:00:00,KUTSARAT81,-3.0,6.4,9.4,-1.9,16.6,2,12,149,53.6,28.9,0,0.515,-0.8572,0.5,0.866,52.2,1.3999999999999986
2025-12-24 02:00:00,KUTSARAT50,0.5,9.9,9.4,-1.9,16.700000000000003,2,12,149,53.7,28.9,0,0.515,-0.8572,0.5,0.866,52.2,1.5
2025-12-24 02:00:00,KUTSARAT74,-6.5,2.9,9.4,-1.9,14.5,2,12,149,51.5,28.9,0,0.515,-0.8572,0.5,0.866,52.2,-0.7000000000000028
2025-12-24 02:00:00,KUTSARAT62,-6.0,3.4,9.4,-1.9,17.299999999999997,2,12,149,54.3,28.9,0,0.515,-0.8572,0.5,0.866,52.2,2.0999999999999943
2025-12-24 02:00:00,KUTLEHI111,-2.3000000000000007,7.1,9.4,-1.9,15.600000000000001,2,12,149,52.6,28.9,0,0.515,-0.8572,0.5,0.866,52.2,0.3999999999999986
2025-12-24 03:00:00,KUTSARAT81,-8.4,5.9,14.3,-2.3,14.200000000000003,3,12,140,51.2,25.3,0,0.6428,-0.766,0.7071,0.7071,51.8,-0.5999999999999943
2025-12-24 03:00:00,KUTSARAT74,-11.4,2.9,14.3,-2.3,14.600000000000001,3,12,140,51.6,25.3,0,0.6428,-0.766,0.7071,0.7071,51.8,-0.19999999999999574
2025-12-24 03:00:00,KUTSARAT50,-6.0,8.3,14.3,-2.3,15.799999999999997,3,12,140,52.8,25.3,0,0.6428,-0.766,0.7071,0.7071,51.8,1.0
2025-12-24 03:00:00,KUTLEHI73,-11.600000000000001,2.7,14.3,-2.3,16.799999999999997,3,12,140,53.8,25.3,0,0.6428,-0.766,0.7071,0.7071,51.8,2.0
2025-12-24 03:00:00,KUTPLEAS11,-14.3,0.0,14.3,-2.3,13.899999999999999,3,12,140,50.9,25.3,0,0.6428,-0.766,0.7071,0.7071,51.8,-0.8999999999999986
2025-12-24 03:00:00,KUTSARAT62,-9.700000000000001,4.6,14.3,-2.3,16.9,3,12,140,53.9,25.3,0,0.6428,-0.766,0.7071,0.7071,51.8,2.1000000000000014
2025-12-24 03:00:00,KUTLEHI111,-7.1000000000000005,7.2,14.3,-2.3,15.299999999999997,3,12,140,52.3,25.3,0,0.6428,-0.766,0.7071,0.7071,51.8,0.5
2025-12-24 04:00:00,KUTSARAT50,-4.9,8.9,13.8,-2.7,14.600000000000001,4,12,115,51.6,21.7,0,0.9063,-0.4226,0.866,0.5,50.2,1.3999999999999986
2025-12-24 04:00:00,KUTSARAT74,-12.8,1.0,13.8,-2.7,12.0,4,12,115,49.0,21.7,0,0.9063,-0.4226,0.866,0.5,50.2,-1.2000000000000028
2025-12-24 04:00:00,KUTPLEAS11,-13.8,0.0,13.8,-2.7,13.700000000000003,4,12,115,50.7,21.7,0,0.9063,-0.4226,0.866,0.5,50.2,0.5
2025-12-24 04:00:00,KUTSARAT81,-6.700000000000001,7.1,13.8,-2.7,12.899999999999999,4,12,115,49.9,21.7,0,0.9063,-0.4226,0.866,0.5,50.2,-0.30000000000000426
2025-12-24 04:00:00,KUTSARAT62,-10.8,3.0,13.8,-2.7,15.700000000000003,4,12,115,52.7,21.7,0,0.9063,-0.4226,0.866,0.5,50.2,2.5
2025-12-24 04:00:00,KUTLEHI73,-12.700000000000001,1.1,13.8,-2.7,15.100000000000001,4,12,115,52.1,21.7,0,0.9063,-0.4226,0.866,0.5,50.2,1.8999999999999986
2025-12-24 04:00:00,KUTLEHI111,-7.700000000000001,6.1,13.8,-2.7,14.5,4,12,115,51.5,21.7,0,0.9063,-0.4226,0.866,0.5,50.2,1.2999999999999972
2025-12-24 05:00:00,KUTSARAT74,-9.7,1.8,11.5,-3.5,11.200000000000003,5,12,114,48.2,21.0,0,0.9135,-0.4067,0.9659,0.2588,52.1,-3.8999999999999986
2025-12-24 05:00:00,KUTSARAT62,-9.6,1.9,11.5,-3.5,12.700000000000003,5,12,114,49.7,21.0,0,0.9135,-0.4067,0.9659,0.2588,52.1,-2.3999999999999986
2025-12-24 05:00:00,KUTSARAT50,-3.5,8.0,11.5,-3.5,14.100000000000001,5,12,114,51.1,21.0,0,0.9135,-0.4067,0.9659,0.2588,52.1,-1.0
2025-12-24 05:00:00,KUTSARAT81,-4.7,6.8,11.5,-3.5,12.299999999999997,5,12,114,49.3,21.0,0,0.9135,-0.4067,0.9659,0.2588,52.1,-2.8000000000000043
2025-12-24 05:00:00,KUTPLEAS11,-11.5,0.0,11.5,-3.5,11.5,5,12,114,48.5,21.0,0,0.9135,-0.4067,0.9659,0.2588,52.1,-3.6000000000000014
2025-12-24 05:00:00,KUTLEHI73,-9.6,1.9,11.5,-3.5,12.799999999999997,5,12,114,49.8,21.0,0,0.9135,-0.4067,0.9659,0.2588,52.1,-2.3000000000000043
2025-12-24 05:00:00,KUTLEHI111,-6.8,4.7,11.5,-3.5,13.799999999999997,5,12,114,50.8,21.0,0,0.9135,-0.4067,0.9659,0.2588,52.1,-1.3000000000000043
2025-12-24 06:00:00,KUTSARAT81,-0.29999999999999893,8.3,8.6,-3.8,12.200000000000003,6,12,105,49.2,21.0,0,0.9659,-0.2588,1.0,0.0,49.5,-0.29999999999999716
